COMUNE;PESO
AGHIONE;10
AITI;10
ALANDO;10
ALBERTACCE;10
ALERIA;10
ALGAJOLA;10
ALTIANI;10
ALZI;10
AMPRIANI;10
ANTISANTI;10
AREGNO;10
ASCO;10
AVAPESSA;10
BARBAGGIO;10
BARRETTALI;10
BASTIA;10
BELGODERE;10
BIGORNO;10
BIGUGLIA;10
BISINCHI;10
BORGO;10
BRANDO;10
BUSTANICO;10
CAGNANO;10
CALACUCCIA;10
CALENZANA;10
CALVI;10
CAMBIA;10
CAMPANA;10
CAMPI;10
CAMPILE;10
CAMPITELLO;10
CANALE-DI-VERDE;10
CANARI;10
CANAVAGGIA;10
CARCHETO-BRUSTICO;10
CARPINETO;10
CARTICASI;10
CASABIANCA;10
CASALTA;10
CASAMACCIOLI;10
CASONA;10
CASEVECCHIE;10
CASTELLARE-DI-CASINCA;10
CASTELLARE-DI-MERCURIO;10
CASTELLARE-DI-ROSTINO;10
CASTIFAO;10
CASTIGLIONE;10
CASTINETA;10
CASTIRLA;10
CATERI;10
CENTURI;10
CERVIONE;10
CHIATRA;10
CHISA;10
CORBARA;10
CORSCIA;10
CORTE;10
COSTA;10
CROCE;10
CROCICCHIA;10
ERBAJOLO;10
ERONE;10
ERSA;10
FARINOLE;10
FAVALELLO;10
FELCE;10
FELICETO;10
FICAJA;10
FOCICCHIA;10
FURIANI;10
GALERIA;10
GAVIGNANO;10
GHISONI;10
GIOCATOJO;10
GIUNCAGGIO;10
L'ILE-ROUSSE;10
ISOLACCIO-DI-FIUMORBO;10
LAMA;10
LANO;10
LAVATOGGIO;10
LENTO;10
LINGUIZZETTA;10
LORETO-DI-CASINCA;10
LOZZI;10
LUCCIANA;10
LUGO-DI-NAZZA;10
LUMIO;10
LURI;10
MANSO;10
MATRA;10
MAUSOLEO;10
MAZZOLA;10
MERIA;10
MOTA;10
MOLTIFAO;10
MONACIA-D'OREZZA;10
MONCALE;10
MONTE;10
MONTEGROSSO;10
MONTICELLO;10
MOROSAGLIA;10
MORSIGLIA;10
MURACCIOLE;10
MURATO;10
MURO;10
NESSA;10
NOCARIO;10
NOCETA;10
NONZA;10
NOVALE;10
NOVELLA;10
OCCHIATANA;10
OGLIASTRO;10
OLCANI;10
OLETTA;10
OLMETA-DI-CAPOCORSO;10
OLMETA-DI-TUDA;10
OLMI-CAPPELLA;10
OLMO;10
OMESSA;10
ORTALE;10
ORTIPORIO;10
PALASCA;10
PANCHERACCIA;10
PARATA;10
PATRIMONIO;10
PENTA-ACQUATELLA;10
PENTA-DI-CASINCA;10
PERELLI;10
PERO-CASEVECCHIE;10
PIANELLO;10
PIANO;10
PIAZZALI;10
PIAZZOLE;10
PIEDICORTE-DI-GAGGIO;10
PIEDICROCE;10
PIEDIGRIGGIO;10
PIEDIPARTINO;10
PIE-D'OREZZA;10
PIETRACORBARA;10
PIETRA-DI-VERDE;10
PIETRALBA;10
PIETRASERENA;10
PIETRICAGGIO;10
PIETROSO;10
PIEVE;10
PIGNA;10
PINO;10
PIOBETTA;10
PIOGGIOLA;10
POGGIO-DI-NAZZA;10
POGGIO-DI-VENACO;10
POGGIO-D'OLETTA;10
POGGIO-MARINACCIO;10
POGGIO-MEZZANA;10
POLVEROSO;10
POPOLASCA;10
PORRI;10
LA-PORTA;10
PRATO-DI-GIOVELLINA;10
PRUNELLI-DI-CASACCONI;10
PRUNELLI-DI-FIUMORBO;10
PRUNO;10
QUERCITELLO;10
RAPAGGIO;10
RAPALE;10
RIVENTOSA;10
ROGLIANO;10
RUSIO;10
RUTALI;10
SAINT-FLORENT;10
SALICETO;10
SAN-DAMIANO;10
SAN-GAVINO-D'AMPUGNANI;10
SAN-GAVINO-DI-FIUMORBO;10
SAN-GAVINO-DI-TENDA;10
SAN-GIOVANNI-DI-MORIANI;10
SAN-GIULIANO;10
SAN-LORENZO;10
SAN-MARTINO-DI-LOTA;10
SAN-NICOLAO;10
SANTA-LUCIA-DI-MERCURIO;10
SANTA-LUCIA-DI-MORIANI;10
SANTA-MARIA-DI-LOTA;10
SANTA-MARIA-POGGIO;10
SANT'ANDREA-DI-BOZIO;10
SANT'ANDREA-DI-COTONE;10
SANT'ANTONINO;10
SANTA-REPARATA-DI-BALAGNA;10
SANTA-REPARATA-DI-MORIANI;10
SANTO-PIETRO-DI-TENDA;10
SANTO-PIETRO-DI-VENACO;10
SCATA;10
SCOLCA;10
SERMANO;10
SERRA-DI-FIUMORBO;10
SILVARECCIO;10
SISCO;10
SOLARO;10
SORBO-OCAGNANO;10
SORIO;10
SOVERIA;10
SPELONCATO;10
STAZZONA;10
TAGLIO-ISOLACCIO;10
TALASANI;10
TALLONE;10
TARRANO;10
TOMINO;10
TOX;10
TRALONCA;10
URTACA;10
VALLECALLE;10
VALLE-D'ALESANI;10
VALLE-DI-CAMPOLORO;10
VALLE-DI-ROSTINO;10
VALLE-D'OREZZA;10
VALLICA;10
VELONE-ORNETO;10
VENACO;10
VENTISERI;10
VENZOLASCA;10
VERDESE;10
VESCOVATO;10
VEZZANI;10
VIGNALE;10
VILLE-DI-PARASO;10
VILLE-DI-PIETRABUGNO;10
VIVARIO;10
VOLPAJOLA;10
ZALANA;10
ZILIA;10
ZUANI;10
