COMUNE,P,LAT,LON
AGHIONE,0.011570247933884,42.1115316,9.4006277
ALERIA,0.031404958677686,42.1134823,9.5140253
ALGAJOLA,0.0016528925619835,42.6074484,8.861965
ALTIANI,0.0033057851239669,42.23681,9.29045
ANTISANTI,0.0049586776859504,42.1667523,9.347131
AREGNO,0.0049586776859504,42.5816746,8.897122
BARBAGGIO,0.0099173553719008,42.68974,9.37738
BARRETTALI,0.0016528925619835,42.8765973,9.3551309
BASTIA,0.03801652892562,42.7065505,9.452542
BELGODERE,0.0066115702479339,42.5858693,9.0175375
BIGORNO,0.0016528925619835,42.5278668,9.3018618
BIGUGLIA,0.057851239669421,42.6269896,9.4208224
BISINCHI,0.0033057851239669,42.4782071,9.3231679
BORGO,0.031404958677686,42.5541524,9.4277361
BRANDO,0.0049586776859504,42.77713115,9.44667296013463
CAGNANO,0.0082644628099174,42.8749176,9.4312366
CALACUCCIA,0.0016528925619835,42.3369329,9.0153921
CALENZANA,0.021487603305785,42.5083711,8.8552855
CALVI,0.0099173553719008,42.5638369,8.7507502
CAMPILE,0.0066115702479339,42.4923861,9.3536862
CAMPITELLO,0.0016528925619835,42.5278923,9.3163314
CANALE DI VERDE,0.0066115702479339,42.27414,9.479
CANARI,0.0049586776859504,42.8459332,9.3313335
CANAVAGGIA,0.0033057851239669,42.5035786,9.2626552
CASTELLARE DI CASINCA,0.0082644628099174,42.46744,9.4733702
CASTELLARE-DI-MERCURIO,0.0016528925619835,42.3111266,9.2454923
CASTELLO DI ROSTINO,0.0033057851239669,42.46348,9.31489
CASTIRLA,0.0033057851239669,42.3728484,9.1443514
CATERI,0.0016528925619835,42.5718197,8.8910994
CERVIONE,0.011570247933884,42.3322737,9.49192
CORBARA,0.0049586776859504,42.613746,8.9061013
CORSCIA,0.0016528925619835,42.3553585,9.0440062
CORTE,0.019834710743802,42.3060908,9.1504022
COSTA,0.0016528925619835,42.4864399,9.3511491
ERBAJOLO,0.0016528925619835,42.2638871,9.2833259
FARINOLE,0.0033057851239669,42.7318671,9.3636859
